stu,skill,crtRatio
150,30,1.0
1979,96,1.0
330,57,0.7
948,97,1.0
25,10,0.7777777777777778
62,106,0.8333333333333334
1266,79,0.0
449,66,0.0
2396,32,0.5
26,54,0.9
1603,23,0.5
793,112,0.0
3322,102,1.0
831,37,0.8333333333333334
2035,10,0.0
599,23,1.0
445,61,0.6538461538461539
2157,114,0.0
1036,26,0.5
1145,67,0.0
2035,47,0.76
3257,75,0.8888888888888888
1263,101,0.0
133,30,1.0
178,0,0.6428571428571429
1962,96,1.0
251,64,1.0
931,56,0.625
255,6,1.0
1492,62,0.2857142857142857
152,110,0.8
3318,62,1.0
2266,56,0.0
141,96,1.0
1036,56,0.0
1224,10,0.42857142857142855
1610,44,1.0
2463,9,0.6666666666666666
3315,84,1.0
347,59,0.875
2180,102,1.0
3301,62,1.0
3289,90,1.0
32,102,0.8333333333333334
3323,65,0.9
2269,94,0.0
3305,58,1.0
2721,59,0.2857142857142857
982,62,0.6
1269,106,0.3333333333333333
2390,49,1.0
154,34,0.9230769230769231
238,90,1.0
960,91,0.3
226,77,0.5
1423,76,0.6666666666666666
2252,94,0.0
1999,55,0.7142857142857143
2001,47,0.9090909090909091
228,10,1.0
3292,0,1.0
3309,30,1.0
908,43,1.0
1350,86,1.0
445,72,0.4
92,105,0.375
809,59,1.0
3268,9,0.875
549,0,0.75
452,107,1.0
167,68,0.2
455,114,1.0
2849,23,0.8
3288,88,1.0
3071,86,0.8333333333333334
293,52,0.0
3275,0,1.0
3267,91,0.8235294117647058
2144,100,0.6923076923076923
2180,64,1.0
2340,94,0.5
560,114,1.0
164,7,0.8421052631578947
3285,110,1.0
2140,100,0.5357142857142857
2551,69,0.6666666666666666
431,37,1.0
91,114,1.0
2231,54,0.0
451,74,1.0
2953,65,1.0
3271,88,1.0
2272,104,1.0
1220,98,0.75
2919,18,0.0
263,61,0.6
3259,75,0.25
2028,0,1.0
71,65,0.75
268,95,0.39622641509433965
466,96,0.7692307692307693
3308,106,0.88
1576,30,1.0
147,105,0.6666666666666666
3258,54,1.0
2911,116,0.75
213,8,0.5714285714285714
434,74,1.0
180,1,0.21875
3322,23,0.6
1465,50,0.5384615384615384
820,10,0.9047619047619048
3321,5,0.7
3259,105,0.0
3066,86,0.6842105263157895
3263,88,1.0
2319,54,0.0
3300,78,0.21428571428571427
749,78,0.0
3258,43,0.875
151,0,0.0
478,64,0.8888888888888888
2016,58,1.0
2098,100,0.0
157,106,0.6486486486486487
3258,84,1.0
985,59,1.0
2091,57,0.7142857142857143
1535,39,0.25
3271,20,1.0
12,100,0.6666666666666666
1311,106,0.0
3262,55,1.0
428,75,0.7272727272727273
2907,106,0.0
1999,58,1.0
73,58,1.0
1543,105,0.25
2081,100,0.0
3258,114,1.0
434,6,1.0
1975,67,0.5
66,10,1.0
1331,44,0.8571428571428571
178,58,1.0
37,95,0.0
1164,10,0.6
635,86,1.0
69,18,1.0
2910,3,1.0
749,51,1.0
1098,101,1.0
1660,9,0.4
2339,64,1.0
510,91,0.5
380,79,0.0
1501,39,0.5
417,6,1.0
251,8,0.9090909090909091
161,58,1.0
178,88,1.0
437,61,0.8571428571428571
2885,84,0.875
522,6,1.0
2197,15,0.0
543,106,1.0
1444,43,0.8181818181818182
29,9,0.6956521739130435
2339,94,1.0
1415,91,1.0
836,59,0.5652173913043478
266,58,1.0
283,88,1.0
741,45,1.0
1329,54,0.2
157,18,1.0
3265,66,0.3333333333333333
161,88,1.0
2976,106,0.6
837,10,0.0
740,117,1.0
1574,106,0.6153846153846154
149,116,1.0
2900,7,1.0
125,96,0.4722222222222222
249,17,0.0
3313,7,0.75
1501,105,0.0
1064,114,0.5
287,60,1.0
1969,84,1.0
712,73,1.0
355,79,0.25
578,84,0.25
1052,8,0.0
2868,114,0.0
850,39,0.5714285714285714
132,116,1.0
2900,37,1.0
3325,50,1.0
248,61,0.5161290322580645
2310,111,0.0
1278,37,1.0
2621,32,0.75
1556,0,0.14285714285714285
2030,47,0.7096774193548387
614,106,1.0
445,21,0.45454545454545453
161,20,1.0
452,44,0.8125
2889,23,1.0
2252,18,0.6
695,86,0.75
23,106,1.0
831,64,0.7428571428571429
783,2,0.0
3296,78,1.0
598,64,0.8
157,2,0.5714285714285714
201,96,0.6666666666666666
1515,23,0.2857142857142857
1958,100,1.0
260,96,0.6363636363636364
3279,105,0.6
1035,38,0.0
31,54,0.8333333333333334
144,20,1.0
3291,39,0.9090909090909091
1039,21,1.0
153,30,0.8333333333333334
415,86,0.8181818181818182
891,10,0.75
1418,31,0.4166666666666667
3296,108,1.0
3312,75,1.0
1550,0,0.2
269,70,0.5531914893617021
10,61,0.25
3303,114,0.6
2623,37,0.0
1131,74,0.75
194,56,0.7380952380952381
37,59,0.8
193,79,0.7142857142857143
243,34,0.8
472,54,1.0
1697,9,0.75
459,94,1.0
3303,111,1.0
3321,75,0.8
157,62,0.5714285714285714
462,102,1.0
2826,34,0.75
328,113,0.0
142,59,0.8
94,106,1.0
179,71,0.6
244,38,0.8333333333333334
1097,44,0.0
1356,0,0.0
2624,43,1.0
199,56,0.5538461538461539
223,56,1.0
240,86,1.0
455,54,1.0
2102,3,0.7
2137,37,0.0
308,105,0.25
3295,105,1.0
2289,43,0.8
2049,10,1.0
2109,94,0.6666666666666666
1507,65,0.8333333333333334
989,96,0.0
1663,9,0.75
337,50,1.0
2235,64,0.0
3286,100,0.625
3268,96,0.4666666666666667
2027,86,1.0
157,100,0.6666666666666666
441,62,1.0
3316,107,1.0
2032,10,1.0
3266,92,0.25
231,18,1.0
137,92,0.6666666666666666
270,79,0.6
421,54,1.0
438,84,1.0
490,8,0.7333333333333333
246,3,0.55
89,26,0.8333333333333334
269,113,0.7142857142857143
2032,40,1.0
970,106,0.5
396,102,0.7560975609756098
429,79,0.0
3268,67,0.6923076923076923
3281,15,1.0
266,43,0.8888888888888888
3265,60,0.75
303,50,1.0
2105,117,0.75
169,61,0.75
259,114,0.8571428571428571
287,95,0.5
266,72,0.6666666666666666
3307,84,0.6111111111111112
157,32,0.6666666666666666
1638,9,0.0
1998,10,1.0
453,56,0.7727272727272727
425,39,0.0
3321,92,0.6666666666666666
416,62,1.0
2031,8,1.0
2169,43,0.8571428571428571
286,9,0.5
2330,43,0.5
1440,7,1.0
147,10,0.9090909090909091
1268,79,0.2
2562,42,0.0
3261,37,1.0
3272,81,1.0
1998,40,1.0
257,105,0.6
1472,94,0.3333333333333333
2220,75,0.5
2695,103,1.0
3328,38,0.6
181,6,1.0
2589,86,0.8333333333333334
3265,33,1.0
1423,7,1.0
1985,6,1.0
3313,92,0.6666666666666666
516,34,1.0
2473,86,0.8
379,102,0.6538461538461539
631,73,0.5
3013,114,0.75
64,64,1.0
3260,5,1.0
2245,54,1.0
164,6,1.0
2698,12,1.0
3264,106,0.7407407407407407
1096,21,1.0
739,68,1.0
68,106,0.9230769230769231
322,105,0.26666666666666666
3272,95,0.7894736842105263
2917,51,1.0
382,75,0.75
1020,100,0.7
856,40,1.0
47,64,1.0
1427,100,0.631578947368421
87,102,0.8571428571428571
917,56,0.52
152,23,0.875
1094,88,0.2857142857142857
1985,66,1.0
264,71,0.625
30,23,0.25
2074,57,0.5
1886,10,0.8666666666666667
260,18,1.0
250,49,0.0
1607,2,0.0
2572,2,1.0
1099,64,0.38
2939,65,0.6666666666666666
3320,54,0.75
179,51,0.8
584,56,1.0
161,3,0.9
963,96,0.8
722,0,1.0
1046,9,1.0
361,65,0.5
1158,16,0.0
135,9,0.9
245,2,0.45454545454545453
142,43,1.0
2299,54,1.0
3319,22,0.75
2089,10,1.0
260,78,1.0
1037,4,0.0
262,62,0.5454545454545454
3316,67,0.8823529411764706
2995,55,1.0
3210,116,0.0
840,64,1.0
1492,105,0.2857142857142857
3326,13,1.0
139,66,1.0
487,64,0.8333333333333334
155,33,1.0
1162,29,1.0
3316,0,0.9
156,95,0.8
2279,59,0.75
433,97,0.875
179,113,0.8888888888888888
429,104,0.6666666666666666
256,38,1.0
1389,116,0.0
1721,43,1.0
141,11,1.0
2607,10,0.0
460,114,0.7142857142857143
150,21,0.8333333333333334
1576,102,0.68
150,5,1.0
3274,79,0.6666666666666666
3326,43,1.0
246,62,0.5384615384615384
145,95,0.7391304347826086
106,111,0.75
51,51,0.8
231,119,0.0
253,59,0.8
456,56,1.0
222,8,1.0
1469,50,0.75
814,100,1.0
1036,1,0.0
21,91,1.0
2040,43,0.5
933,56,0.5263157894736842
818,96,1.0
354,8,0.48
288,84,0.6153846153846154
3281,116,0.75
465,96,0.8333333333333334
3269,54,0.6
911,64,1.0
467,10,0.7619047619047619
32,47,0.8333333333333334
1961,9,0.8
633,1,0.7
554,71,0.0
695,34,1.0
922,64,0.7435897435897436
1426,100,0.6
445,31,0.75
1917,10,0.0
2483,79,0.0
3277,94,0.8148148148148148
3270,102,0.5
2047,64,1.0
2014,79,0.5
590,7,0.3333333333333333
911,94,1.0
26,47,0.8888888888888888
3273,110,0.75
226,22,0.5
2513,86,1.0
177,111,0.75
1999,0,0.7142857142857143
3305,33,1.0
672,91,0.4
536,9,0.0
793,90,1.0
2496,86,1.0
2005,87,0.6666666666666666
1052,10,0.4117647058823529
2945,18,0.4
327,98,1.0
443,87,1.0
780,56,1.0
2462,39,0.75
3017,64,0.75
256,60,0.6666666666666666
88,10,0.5
1403,59,0.8571428571428571
334,47,1.0
675,86,1.0
2033,101,1.0
6,114,0.8571428571428571
3279,69,1.0
431,116,1.0
549,16,1.0
2917,18,0.5
551,0,0.5454545454545454
812,59,0.8571428571428571
1577,59,0.5714285714285714
2484,10,1.0
242,9,0.9230769230769231
3272,21,1.0
162,2,0.6
1234,106,0.8
2629,56,0.6428571428571429
3284,10,0.5555555555555556
917,59,0.8571428571428571
3268,55,1.0
2174,54,0.6666666666666666
2151,37,1.0
257,106,0.6716417910447762
2341,57,0.75
3259,78,0.5555555555555556
1783,0,0.0
1438,61,1.0
523,39,0.5555555555555556
1442,3,1.0
3255,21,1.0
3272,51,1.0
416,9,0.6739130434782609
479,59,0.46153846153846156
1576,5,1.0
960,55,0.875
1429,56,0.75
57,18,0.5
171,116,0.0
1455,15,0.5714285714285714
24,96,0.9047619047619048
3256,72,0.75
206,56,0.5869565217391305
1767,116,0.0
180,110,0.75
746,86,1.0
283,7,0.6176470588235294
1198,10,0.2857142857142857
1426,34,0.4
60,21,0.7857142857142857
3262,0,1.0
646,56,0.8333333333333334
406,79,0.4
2538,73,0.0
450,10,0.8571428571428571
154,116,0.5
2911,34,1.0
328,94,0.3333333333333333
1574,26,0.7692307692307693
159,40,0.75
268,81,0.0
2796,8,1.0
2571,112,1.0
729,86,1.0
1442,63,1.0
1258,43,0.9166666666666666
972,0,1.0
3327,42,0.5
598,21,0.6
1351,95,0.14285714285714285
25,68,0.0
1979,8,0.875
53,8,0.5
167,106,0.75
2894,34,1.0
2911,64,1.0
324,38,0.14285714285714285
61,61,1.0
1733,116,0.0
3109,96,0.75
1425,63,1.0
77,29,1.0
134,4,0.75
3328,65,0.7142857142857143
3323,2,0.5
149,31,1.0
25,98,0.375
3290,84,0.8181818181818182
2911,94,1.0
1271,66,0.0
143,84,0.45454545454545453
1970,61,1.0
1987,91,1.0
175,55,1.0
264,106,0.8275862068965517
737,54,1.0
283,33,1.0
889,55,0.7692307692307693
141,8,0.75
858,96,1.0
759,7,0.8
3306,2,0.75
3323,32,0.75
848,39,0.8
569,79,0.6
1983,51,1.0
2553,56,1.0
266,33,1.0
3327,67,0.8461538461538461
872,55,0.7692307692307693
41,52,0.4
1975,15,1.0
141,38,0.75
452,3,0.6
2868,100,1.0
2982,23,0.0
3306,32,0.5
1152,0,0.7222222222222222
1477,100,0.5
31,57,1.0
145,21,1.0
149,91,1.0
263,55,1.0
257,69,1.0
247,100,0.625
1368,60,0.0
1966,51,1.0
251,42,0.0
1976,3,0.8
2310,56,0.0
1967,82,0.9
268,113,0.8
1176,50,1.0
71,106,0.6276595744680851
1395,88,1.0
31,87,1.0
145,51,1.0
132,91,1.0
391,64,0.8571428571428571
2043,21,0.4
2608,71,0.0
3285,106,0.5735294117647058
1099,21,0.6666666666666666
352,56,0.8064516129032258
351,8,0.43478260869565216
3296,23,1.0
125,43,1.0
3329,21,1.0
1215,7,0.6
3317,49,1.0
3008,21,0.6666666666666666
3312,20,1.0
2346,64,0.36363636363636365
136,117,1.0
544,59,0.75
759,1,0.5483870967741935
3301,111,1.0
30,55,0.43243243243243246
307,4,0.3076923076923077
2566,8,0.6666666666666666
3266,7,0.7142857142857143
2985,34,1.0
3266,65,0.7
3312,50,1.0
233,40,0.75
3314,100,0.8
2305,61,0.3
238,7,0.5588235294117647
3303,86,1.0
795,56,1.0
2293,59,1.0
133,40,0.8
233,111,1.0
3297,100,0.8
36,3,0.6666666666666666
247,96,0.6363636363636364
1551,40,0.0
240,61,1.0
795,86,1.0
903,64,1.0
2893,84,0.9166666666666666
3263,1,0.7222222222222222
3271,66,0.75
2276,59,1.0
313,4,0.5
3291,59,0.9
1466,20,1.0
2016,0,0.875
118,4,0.3333333333333333
287,106,0.42857142857142855
1151,0,0.35294117647058826
3287,50,1.0
2959,100,1.0
2814,23,0.9
834,100,0.7916666666666666
903,94,1.0
1023,43,0.8
2017,92,0.75
2482,64,1.0
3282,22,1.0
548,57,0.8
1466,50,1.0
1790,18,0.5
1516,65,0.7
3310,113,0.8571428571428571
615,96,0.9090909090909091
51,16,0.6
2079,64,0.36363636363636365
1136,0,0.23076923076923078
179,62,0.25
817,100,0.9166666666666666
2364,18,0.0
287,40,0.0
1219,96,1.0
1781,54,0.5
3265,34,0.7777777777777778
3300,40,0.8
267,32,0.75
1513,0,0.0
472,21,0.6666666666666666
465,64,0.8571428571428571
3269,18,1.0
3284,113,0.7272727272727273
1083,0,1.0
240,20,0.6
2241,43,0.8333333333333334
567,75,0.18181818181818182
3287,94,0.6842105263157895
3266,40,1.0
2519,50,0.2
1496,0,0.0
1983,18,0.0
2014,87,1.0
854,10,1.0
1520,23,0.6
2330,18,0.75
3309,95,0.9166666666666666
2213,100,0.0
2023,97,0.8333333333333334
1495,0,0.2
287,56,0.65
240,94,0.7
1428,10,1.0
91,30,0.1
338,79,0.6666666666666666
1961,94,0.5
267,92,0.75
3249,40,1.0
854,40,1.0
467,87,0.9090909090909091
1544,105,0.5384615384615384
1537,39,0.25
3118,59,0.75
156,49,1.0
173,79,1.0
434,84,0.8
1411,10,1.0
15,17,0.7142857142857143
2091,43,1.0
3259,10,0.6923076923076923
2136,79,0.35714285714285715
257,66,0.5
2040,10,0.6
1982,3,1.0
3260,114,1.0
2197,64,0.625
861,60,0.8333333333333334
137,116,0.0
148,26,0.75
1217,0,0.35714285714285715
451,44,0.7333333333333333
3258,94,0.8
156,79,1.0
3271,95,0.660377358490566
233,65,0.9166666666666666
1973,39,1.0
2074,43,1.0
186,116,0.23529411764705882
440,60,0.7142857142857143
265,31,0.8333333333333334
3216,115,0.0
371,64,0.5555555555555556
261,79,1.0
1143,79,0.0
253,2,0.75
427,59,0.6470588235294118
1034,39,0.25
3320,40,1.0
157,84,0.6923076923076923
66,7,0.8571428571428571
155,34,0.7777777777777778
827,43,1.0
51,87,0.5714285714285714
34,34,1.0
143,75,1.0
996,40,0.6666666666666666
38,104,1.0
2439,91,1.0
2753,3,0.75
3274,69,0.8888888888888888
2980,106,0.7777777777777778
265,51,1.0
1482,103,0.5
135,39,1.0
152,69,1.0
464,64,0.875
241,60,0.5
3284,9,0.7142857142857143
262,116,0.4
34,64,1.0
143,105,1.0
848,45,1.0
246,39,0.7619047619047619
3293,3,0.7142857142857143
98,62,0.8888888888888888
1133,83,0.25
2552,39,0.8333333333333334
135,69,1.0
3310,3,0.75
2268,94,0.0
584,61,1.0
1045,56,1.0
3319,38,1.0
3308,43,0.9
34,94,1.0
3266,18,0.14285714285714285
1280,62,1.0
581,47,0.23809523809523808
356,59,1.0
215,96,0.875
427,116,0.7142857142857143
2302,114,0.3333333333333333
3310,74,1.0
3200,64,0.6923076923076923
8,100,1.0
425,9,0.6666666666666666
749,18,0.6666666666666666
3298,61,0.375
568,8,0.0
428,86,0.9523809523809523
2294,61,1.0
2963,9,0.0
421,100,0.5
3323,10,1.0
1040,57,1.0
339,59,1.0
68,0,0.6
606,50,0.8
3311,38,1.0
417,2,0.4444444444444444
2808,65,0.0
1788,110,0.0
995,101,0.75
786,75,0.4
238,84,1.0
97,96,0.631578947368421
1505,34,0.8333333333333334
3306,10,1.0
145,67,0.7272727272727273
21,66,1.0
2303,101,0.8333333333333334
93,52,0.0
80,92,0.0
267,79,0.8571428571428571
247,78,1.0
9,94,1.0
449,67,0.6578947368421053
2392,117,1.0
2133,43,0.2631578947368421
3310,6,1.0
168,106,0.6
1468,114,1.0
3287,77,0.75
2020,10,0.75
319,81,1.0
1425,79,0.7142857142857143
238,114,1.0
2158,56,0.6363636363636364
3286,15,0.5
152,91,0.6666666666666666
928,56,0.45
1699,9,0.75
909,66,0.3333333333333333
1035,31,0.1111111111111111
38,39,0.7
255,3,0.8571428571428571
2147,61,0.03333333333333333
3293,6,1.0
3270,77,0.75
3289,56,0.8333333333333334
177,86,0.75
436,83,1.0
792,107,1.0
1116,75,0.0
1573,10,1.0
3261,113,0.625
132,84,0.8888888888888888
100,102,1.0
148,7,0.7272727272727273
3017,9,0.0
2760,86,0.7
92,66,1.0
2131,43,1.0
416,34,0.875
59,81,0.0
3281,64,1.0
456,64,0.4583333333333333
1531,105,0.6
1665,9,0.0
3294,10,0.8333333333333334
423,25,1.0
1422,21,0.75
403,0,0.0
780,31,1.0
2374,9,0.5714285714285714
266,79,0.7142857142857143
1770,9,0.75
768,59,1.0
269,72,0.6
282,116,0.75
3264,64,1.0
136,100,0.6470588235294118
172,1,1.0
486,56,0.8235294117647058
1438,6,1.0
2316,114,0.6
3284,102,1.0
79,62,1.0
893,43,1.0
548,63,1.0
2102,84,0.0
287,10,0.2857142857142857
553,3,0.8333333333333334
989,100,0.5384615384615384
3312,34,0.8571428571428571
265,116,0.375
172,47,0.8333333333333334
604,110,0.0
90,106,0.8
58,79,0.75
268,40,0.6
1096,39,0.8
3256,58,1.0
1434,100,1.0
160,59,1.0
419,15,1.0
183,71,0.30952380952380953
839,116,0.0
285,26,0.0
2463,49,1.0
3267,102,1.0
259,0,0.4864864864864865
1426,23,0.5
1430,6,1.0
734,59,1.0
2325,94,0.0
248,116,0.0
835,47,0.7222222222222222
2098,20,0.0
3277,116,0.21428571428571427
1964,72,0.75
2778,94,1.0
1093,91,1.0
1531,23,0.75
268,26,0.5
231,59,0.6153846153846154
527,23,1.0
163,96,1.0
973,7,1.0
2954,34,0.6666666666666666
3274,93,0.6923076923076923
390,43,1.0
1980,15,0.5
292,46,1.0
297,114,0.8333333333333334
2429,32,0.5
235,54,0.4444444444444444
1257,54,0.42857142857142855
3322,67,0.7368421052631579
284,10,1.0
167,92,1.0
2105,40,1.0
2442,9,1.0
3318,23,0.875
2304,54,0.5
162,64,1.0
1015,91,0.3157894736842105
842,56,0.0
949,21,0.6363636363636364
2077,114,0.0
284,40,1.0
2433,45,1.0
141,67,0.8235294117647058
1983,94,1.0
251,55,0.75
1783,8,0.3
733,57,1.0
2760,20,0.0
56,8,0.8
3120,21,1.0
1497,23,0.0
438,43,0.8571428571428571
159,1,0.4
549,114,0.6
1963,86,1.0
2816,23,0.8888888888888888
134,113,0.75
292,106,1.0
3287,102,0.6666666666666666
2395,32,0.0
759,86,0.8
1477,15,0.0
1984,58,1.0
149,6,1.0
267,40,1.0
247,15,0.0
1877,5,0.3333333333333333
2338,56,0.8
154,64,1.0
461,2,0.0
167,23,0.8
141,91,0.631578947368421
3279,113,0.7
1975,94,1.0
2831,34,0.6
818,37,0.7777777777777778
238,51,0.75
707,93,1.0
1494,75,0.0
2929,64,0.6666666666666666
2399,45,1.0
1326,10,0.6666666666666666
3321,4,1.0
3315,105,0.5
137,64,1.0
248,20,0.8
1609,44,1.0
1958,94,1.0
146,58,1.0
3318,26,1.0
1963,18,1.0
2734,86,0.0
3274,56,0.7142857142857143
134,86,1.0
3289,111,0.75
1781,43,0.42857142857142855
210,8,0.125
3302,71,0.75
3317,92,1.0
2758,40,0.16666666666666666
2265,86,0.0
2348,94,0.42857142857142855
1492,102,1.0
666,18,0.6
266,54,0.8333333333333334
137,94,1.0
251,58,1.0
1981,23,0.8571428571428571
352,79,0.8333333333333334
28,54,1.0
1302,106,0.17647058823529413
136,32,1.0
1516,18,0.3333333333333333
451,56,0.7241379310344828
3301,26,1.0
3318,56,1.0
859,114,0.42857142857142855
3285,71,0.75
3321,64,1.0
1475,102,1.0
649,18,0.6
2,60,1.0
133,54,1.0
3288,79,0.875
251,88,1.0
245,102,1.0
248,37,0.7272727272727273
795,23,0.2857142857142857
268,105,0.2
3311,7,0.8
11,54,1.0
136,62,1.0
544,4,0.75
1614,44,0.8333333333333334
2256,18,0.0
3285,101,0.0
2908,54,0.6666666666666666
2018,34,0.5
2089,56,0.7692307692307693
225,94,1.0
132,113,0.8571428571428571
808,59,1.0
3304,64,1.0
3267,9,0.75
452,84,0.4
2841,3,0.7857142857142857
84,62,0.7142857142857143
3284,39,0.75
492,56,0.4166666666666667
183,107,0.42857142857142855
161,79,0.9047619047619048
2055,0,0.5833333333333334
1792,51,0.0
363,38,1.0
3328,59,0.6470588235294118
2369,71,1.0
71,40,0.6666666666666666
3141,64,0.42857142857142855
2037,26,1.0
791,59,1.0
3289,114,1.0
1147,83,1.0
99,54,1.0
1038,43,1.0
129,43,0.8
3275,92,1.0
1463,56,1.0
1329,67,0.0
2017,18,1.0
2034,7,0.5
3255,10,0.6666666666666666
1333,9,0.5
3315,9,0.8
3264,61,0.5
1429,9,0.0
840,0,0.6428571428571429
774,59,1.0
431,44,0.9
815,43,0.8181818181818182
82,54,1.0
438,78,1.0
242,55,0.8
552,43,1.0
212,79,0.375
437,16,1.0
2939,7,1.0
410,18,0.0
136,84,0.38095238095238093
2195,39,0.6666666666666666
3327,71,0.4444444444444444
434,38,1.0
3292,64,0.8333333333333334
2930,43,1.0
2562,50,0.6
178,93,0.6
223,60,0.6428571428571429
2922,7,1.0
1477,10,0.6153846153846154
2962,114,0.14285714285714285
242,70,0.6842105263157895
1962,8,0.6666666666666666
3258,91,0.9
1093,88,0.625
1219,57,0.8333333333333334
2574,49,1.0
2077,64,0.4444444444444444
2926,3,1.0
3200,45,0.8888888888888888
2014,54,0.2857142857142857
1996,101,0.8125
174,9,0.75
178,79,0.5625
335,27,0.3333333333333333
1525,51,0.0
440,56,0.8888888888888888
170,43,0.75
2910,65,1.0
36,95,0.5
947,10,0.5
2071,64,0.2
3317,32,0.2
434,98,1.0
2932,18,0.8
1525,81,0.0
1978,39,0.75
2336,64,0.4
154,31,0.75
235,57,0.7142857142857143
2667,66,0.0
233,78,0.6666666666666666
1198,50,0.4
415,78,0.8
3257,21,1.0
3274,51,1.0
1877,106,1.0
3266,31,0.8333333333333334
3116,59,0.0
3266,15,1.0
745,18,0.4
282,64,1.0
272,95,0.0
3305,0,0.6666666666666666
248,43,0.45454545454545453
3268,65,0.8
610,96,0.7857142857142857
149,10,0.9090909090909091
1958,61,0.0
146,25,0.5
2116,54,1.0
140,39,0.8125
311,38,0.1111111111111111
3257,51,1.0
1437,9,0.3
2792,3,0.8333333333333334
3325,71,0.5
2197,9,0.0
19,27,0.5
1233,56,0.6666666666666666
817,94,0.75
508,106,1.0
518,34,1.0
287,18,1.0
836,57,1.0
2211,102,1.0
731,86,1.0
3328,84,0.30434782608695654
1977,54,1.0
27,93,0.0
602,21,0.75
2037,10,0.6666666666666666
1282,54,0.6875
3321,31,0.75
164,90,1.0
2888,23,1.0
1983,9,0.9
1970,6,1.0
222,59,0.7142857142857143
383,0,1.0
259,56,0.8461538461538461
1750,9,1.0
359,9,0.25
1977,101,0.8571428571428571
1039,42,0.0
382,9,0.3333333333333333
3032,86,0.8
143,20,1.0
2,57,0.6875
261,54,1.0
1257,18,0.0
3328,51,1.0
1009,106,0.0
1592,71,0.0
832,47,1.0
812,61,0.8461538461538461
70,54,0.9285714285714286
