ques,skill
7938,101
4944,102
14278,29
8989,32
1661,0
7418,65
13075,0
1344,64
2605,34
7932,57
1765,57
10342,5
12164,79
7045,5
11902,79
11324,102
14519,91
13853,1
13839,103
1277,10
2323,55
3443,86
9188,97
14040,93
7369,65
11717,33
12878,65
2763,98
13728,6
13332,6
11620,100
14688,48
1716,57
12036,15
4130,6
4512,71
9660,92
10095,20
6449,95
282,95
13413,116
6085,84
1374,64
13542,1
6842,26
8440,96
13151,116
1795,57
10372,5
3371,102
1533,57
4780,7
8632,37
13940,47
10308,20
4463,71
10872,62
5187,102
14549,91
9435,95
932,96
13621,1
2924,56
7399,65
9512,86
6177,23
1903,4
4424,79
5544,110
1612,57
13799,7
7054,30
8656,101
10951,62
9965,31
5923,106
13058,9
367,31
5460,116
6057,106
2304,55
7612,65
344,47
7947,55
3401,102
12716,16
4851,8
8024,9
7005,30
12124,104
3937,82
10076,20
9465,95
4492,75
2954,56
9000,32
11355,44
6823,26
13132,79
1690,17
7084,30
3352,102
8338,61
9995,31
11478,114
13088,9
15041,41
3033,56
913,96
5825,106
8516,67
9199,97
173,57
2905,56
5159,16
6623,86
10737,116
13602,1
2729,59
14058,15
12008,50
4284,18
5714,9
7242,94
7035,30
230,39
7894,20
10106,20
9495,95
992,96
5904,106
6938,97
12301,43
13843,63
8333,67
9412,97
14238,67
14343,120
1963,4
5573,6
8451,59
2680,59
7114,30
8107,20
3382,102
11381,73
3060,51
4832,8
12702,94
2817,64
11681,42
5387,1
8546,67
9539,57
4473,75
14294,120
8301,7
2893,59
8320,20
7065,30
9976,31
36,65
11316,65
4585,23
8497,67
135,7
6040,7
7977,31
9097,62
3412,102
8111,31
3868,116
7264,95
10855,84
7016,30
3298,0
6075,1
11411,73
11989,50
12646,54
6281,106
14462,54
3268,57
8576,67
711,59
2965,56
7717,77
5375,4
45,6
12024,7
14219,67
3983,39
8190,31
14453,5
12639,51
12317,0
6472,51
7477,95
5498,74
10006,31
7215,95
12597,54
13456,44
9207,55
6755,110
6870,97
8527,67
1581,100
662,59
9284,9
11975,7
11639,58
13888,97
13631,18
2437,21
3898,116
4068,39
7294,95
7824,95
8999,62
12676,54
2877,64
3837,106
12433,67
4668,34
10936,86
9480,106
12197,56
14783,1
741,59
1894,38
3633,47
875,59
5008,102
8781,68
11357,79
11370,18
15209,109
8932,8
9078,62
11488,10
5602,23
7245,95
2011,34
3654,106
14284,24
12250,67
7203,98
9968,45
954,59
4242,47
6377,56
1611,100
692,59
8557,67
12629,100
1991,92
3207,60
6817,62
3749,114
6977,51
8171,31
14104,93
2023,44
4244,56
12780,3
1687,95
10424,32
12578,54
1384,57
8770,67
11065,28
905,59
1488,114
14096,94
6768,62
3915,2
8741,9
7671,95
13879,96
1463,57
4195,56
10783,86
12414,67
14613,91
2381,102
8245,101
12238,70
5070,27
6264,7
856,59
4989,102
6847,62
11976,70
10757,33
12770,116
5132,87
1414,57
10996,86
8841,68
8774,78
935,59
16,18
1969,50
10054,61
10725,0
10329,0
15241,10
2891,96
6798,62
7877,55
9470,10
11206,44
12670,114
10232,67
12923,65
14723,84
5058,57
4225,56
15259,64
12444,67
5639,39
1659,9
2383,40
5019,102
10542,0
12006,70
5676,106
6474,86
321,21
6749,62
10082,15
12941,55
10183,67
12874,65
13920,110
1444,57
12261,67
4470,8
14093,38
9442,69
10259,62
10801,116
23,34
534,21
9835,0
10262,67
840,64
6029,86
1948,4
4169,16
11731,23
7966,110
10146,121
11791,37
9320,79
4086,18
2441,102
3549,79
10932,47
32,39
12286,16
12474,67
5706,106
4787,65
2371,43
7858,55
12904,65
13220,5
10694,111
4500,8
5620,39
7050,30
13003,7
9376,95
14216,0
14840,93
12524,9
15042,79
611,96
215,96
2584,43
564,21
5657,106
11106,55
3516,23
1978,4
8466,59
10164,67
4116,18
11559,37
2660,38
12242,30
14470,38
4451,8
1980,50
11039,1
6228,43
5736,106
6534,86
4574,78
9486,88
13908,5
10243,67
10435,8
2422,102
6307,43
2234,51
4402,8
4829,75
3051,44
5687,106
8378,67
11136,55
4606,3
5043,4
9176,47
2068,18
8014,56
7159,30
11085,9
4481,8
12788,95
10532,62
2466,64
12144,30
12827,23
6519,84
1808,64
15060,109
4819,3
8329,67
9912,88
9986,37
9650,88
12501,38
429,38
3340,39
15217,29
3505,106
6311,54
14014,0
2484,54
8752,106
5717,106
6154,107
8408,67
12742,100
9206,47
15139,109
15152,48
13237,79
12452,38
11552,10
15168,29
297,40
2496,64
6288,43
3134,55
6830,97
4414,75
3495,34
8643,55
15090,109
10016,37
9157,47
3271,60
13826,70
216,51
3334,116
11429,61
6704,106
7401,34
9440,106
6239,43
12507,95
573,59
2868,57
4365,38
94,61
3222,60
3886,40
7375,18
10374,95
8670,50
10668,84
11917,0
12063,54
3601,56
4776,23
5117,87
6419,95
12861,34
7632,88
14960,120
15120,109
5235,79
4839,79
2819,57
4858,92
9187,47
119,10
6225,0
7290,95
9048,117
9323,56
12014,54
14395,55
603,59
7468,101
11857,70
14207,4
5850,59
3252,60
8279,20
14490,63
6947,106
14927,64
813,54
6570,119
5147,87
6685,106
14990,120
7662,88
9274,56
375,57
6481,47
12983,37
15256,10
3580,10
75,61
6558,1
7422,106
10751,95
3564,2
5644,75
6898,106
13467,86
9226,15
6736,44
12044,54
4757,23
5098,87
2823,4
7192,58
9895,110
14633,4
14941,120
3282,60
3860,0
8686,7
9228,61
9765,0
389,113
6247,1
10466,47
13814,86
7692,88
12100,70
424,70
584,59
12812,47
11838,70
14670,7
12113,9
9878,62
3811,0
8682,9
8668,74
9716,0
11595,83
9077,13
13210,56
14490,76
14908,64
5128,87
6344,55
8336,15
11113,16
11655,70
1536,102
10829,28
15237,10
3561,10
3762,0
13726,94
8693,23
3545,2
15121,64
12268,4
9073,15
6717,7
12622,7
15184,120
5354,26
1166,10
13719,54
9746,0
14061,20
9250,62
14938,64
10191,121
13344,113
1883,38
10278,9
12081,70
405,70
12573,7
10699,39
3156,82
14989,29
3476,23
3591,10
15267,10
3054,34
9697,0
14353,84
10142,121
379,17
13089,8
2096,38
10491,9
5766,91
12712,58
2175,102
12786,7
13006,10
8367,95
1476,64
10521,117
12871,51
12948,5
7177,5
8894,26
12168,79
10597,112
4403,9
1813,100
3503,18
12603,7
9072,32
6004,84
3621,10
1427,64
1950,105
4600,65
8612,47
4658,6
6994,5
13295,5
11669,102
4000,6
7128,5
11247,113
4134,6
8234,101
15232,29
1226,10
2205,102
14970,29
12640,10
6613,84
13941,116
14357,31
5317,56
12793,23
1244,64
4752,55
2658,47
13374,5
10944,48
7286,69
4433,9
14553,91
1177,10
1323,64
12610,23
4630,65
3014,96
6925,26
2255,44
8642,47
10703,107
13628,6
4428,79
5548,110
7024,5
7420,5
7158,5
4412,71
14431,101
8264,101
11029,48
4384,9
10289,9
2235,65
4518,9
11175,102
275,94
5201,2
9053,32
13021,8
3227,96
4507,79
9452,37
10467,15
4641,79
5305,59
57,100
1829,57
11733,100
11867,100
13640,16
14583,91
9132,32
6434,95
13526,116
3440,96
8352,106
9004,32
13875,4
14183,120
11946,100
504,38
4838,71
11307,113
13836,12
1045,96
11017,51
4608,23
13472,1
1700,64
13606,1
9203,97
8188,119
14088,4
12651,37
14831,48
4393,71
11258,113
14224,50
1077,21
4687,23
9499,95
996,96
4821,23
5908,106
14389,117
14738,5
5462,56
13560,6
5057,7
9988,30
10029,31
1075,96
3840,43
9556,107
11295,116
8953,43
12126,44
6837,47
12681,37
4062,92
15416,41
11684,113
11288,113
10966,62
11100,62
9689,84
5938,106
8400,15
6392,47
9446,97
14451,69
9504,38
14812,48
3337,38
2396,9
6603,1
9101,62
8402,61
10496,32
13512,86
11137,65
13988,15
8580,67
5600,3
2969,56
6343,47
8583,72
4469,79
5503,70
14240,7
7958,20
11810,50
7099,30
14772,15
10010,31
473,4
3164,2
1056,96
5968,106
10115,84
13329,86
14638,16
1947,38
5040,16
1845,27
14481,69
11146,6
1991,81
6294,10
11707,73
12386,102
10270,106
7694,95
10686,21
11572,114
11968,114
9122,13
13217,30
1269,96
10806,86
3115,2
10462,47
13376,23
2999,56
1898,38
12058,7
8090,31
13909,28
8485,72
1639,43
7129,30
7148,43
7511,95
9082,62
13430,30
12354,5
4093,34
1977,38
958,59
5306,27
8561,67
9318,9
815,10
2673,7
13974,93
14108,93
6981,51
8775,26
9380,106
9454,55
12264,4
3929,47
4908,102
1928,38
8411,15
9269,9
7194,51
9374,62
8515,72
11803,23
12997,3
3883,116
12546,67
1467,57
9593,106
7009,5
7752,49
14617,91
988,59
4940,27
12256,5
13206,113
1241,10
1879,38
12655,10
13178,51
8071,31
8453,96
3783,114
11882,23
13164,116
10371,107
7088,5
1680,57
7189,57
7786,47
1958,38
939,59
5287,27
6930,62
9299,9
8069,106
1338,64
2895,96
7881,55
8156,31
1759,57
7779,44
7039,5
12870,56
4045,6
8857,78
1018,59
233,18
756,59
1298,113
1909,38
4526,50
4889,102
3813,114
2189,55
13020,0
4341,4
10086,15
7816,47
1448,57
4299,7
6990,5
10672,112
14598,91
14436,29
13145,116
7911,55
12883,116
1527,57
7432,57
30,39
3681,79
7069,5
164,39
8626,37
4539,110
10687,97
12115,15
12344,67
14154,50
4919,102
6168,18
5053,102
10039,61
13487,1
1897,4
7862,55
13371,55
2218,96
9665,79
10900,97
11337,98
12953,67
13052,9
5624,39
8260,101
9972,7
14628,91
5789,106
4366,74
2955,96
14787,84
7941,55
10296,67
12825,3
4289,56
4845,8
10067,15
7596,57
194,39
3986,18
7797,47
10194,56
13964,47
13779,1
4835,0
5740,106
10666,51
10740,0
5578,44
13517,1
14458,30
7892,55
1684,17
11606,114
10847,62
13739,50
14250,0
907,96
5819,106
6215,106
4833,75
5953,106
6311,43
14657,95
2200,55
2637,56
4610,3
13077,79
5353,47
7029,30
12934,30
7163,30
15449,31
4516,75
11018,65
3635,97
5770,106
10811,1
5608,44
4025,23
8662,57
7922,55
13547,1
13290,79
14666,36
10819,121
5222,8
4826,8
6980,30
8697,51
937,96
6,1
14018,0
675,96
4467,75
5983,106
11170,55
1908,4
2625,59
4805,70
13965,110
13098,30
9391,95
2641,3
6292,43
8491,67
4418,75
14115,54
4638,78
10020,37
2704,59
4032,39
7144,30
380,40
6371,43
4497,75
7711,77
8222,64
8704,67
5751,106
8905,57
14328,54
15173,109
9240,47
13734,69
11628,7
1695,17
2655,59
7567,69
9042,62
11452,10
5640,9
5901,50
7343,95
9201,55
9421,95
2007,23
4187,34
8521,67
9932,45
4448,75
2910,56
3944,47
13865,0
9453,47
9191,47
14136,5
9337,101
7174,30
14777,1
11026,23
12306,43
387,56
1003,59
607,59
9867,37
12324,97
14055,16
2685,59
13301,79
13576,18
6991,30
5408,9
9131,117
9687,106
12097,54
8289,67
8886,57
9686,110
5528,10
2118,96
7426,106
7641,31
5096,87
6304,2
4196,96
7842,21
10373,30
12699,95
12329,67
14707,63
899,59
8502,67
1556,100
637,59
6960,47
7502,101
11132,18
12,7
6366,62
15265,61
3950,40
8735,9
9769,0
8432,8
15223,64
15399,61
7840,96
12408,67
11348,87
1329,57
7275,95
8817,78
6557,44
6139,56
850,59
588,59
9848,0
11639,7
15290,10
3901,40
2148,96
11322,34
12602,54
13763,86
9575,107
9943,45
12675,7
507,70
667,59
1063,59
12664,114
9799,0
12798,114
12581,116
19,23
13293,56
11218,98
14788,1
1359,57
6634,119
10404,110
14707,76
13370,47
2377,40
7800,37
9880,110
458,70
3772,10
1597,114
4503,0
315,21
4563,51
5604,18
13011,114
5843,34
9750,0
5347,96
15320,10
12136,116
9142,117
1310,57
6585,119
12705,7
14160,28
7837,40
12085,70
14179,41
9829,0
4454,0
5426,96
6023,86
8929,9
15271,10
6573,1
546,75
7437,106
3579,2
10926,47
11523,37
5155,47
15475,5
5697,101
4415,8
2703,102
6536,119
9910,110
12656,7
14998,80
9359,7
345,21
6773,62
3674,10
15350,10
11181,44
9780,0
4155,54
13214,5
15454,67
12157,67
12253,4
15211,80
10417,62
439,70
5651,106
11160,106
15301,10
10158,67
13427,5
10870,44
6723,66
13633,110
11076,112
4445,8
12686,7
2089,0
377,94
2369,54
12207,9
1510,64
9810,0
8057,56
3461,23
2110,59
10109,67
7211,5
7552,69
4396,8
4437,9
11228,102
10667,65
326,21
4634,65
13443,107
12154,38
12933,5
7207,7
4416,71
10206,121
14435,101
6312,94
9581,32
3359,96
13653,65
6034,86
9644,88
13625,3
7448,69
13408,5
11737,100
7582,69
11534,37
4426,8
12351,30
15009,80
15083,29
12631,84
1619,64
1211,10
6349,97
6483,97
10798,117
1491,64
2570,57
8038,56
9595,88
11002,1
2831,98
12446,38
12311,79
10585,9
5337,50
1290,10
15034,29
1570,64
3523,96
5414,4
9151,47
2783,57
13655,3
4937,79
2521,57
13438,5
2722,47
11767,100
91,100
13820,70
11423,61
5055,71
14835,48
15113,29
4397,71
4235,9
8910,106
200,43
5434,67
401,33
2715,44
406,111
12734,37
12774,116
11094,7
4476,71
11911,0
10615,9
6649,106
4844,9
13669,22
9560,107
8727,106
480,33
77,57
14122,4
4571,79
11797,100
4427,71
11292,113
10566,9
5299,0
6204,106
6237,54
10134,86
13565,86
9927,22
14816,48
13319,30
13861,84
15377,115
10430,84
6679,106
6316,54
2067,65
8891,106
6871,47
14414,4
13992,15
15071,45
2581,57
4473,79
14872,64
5524,10
7745,22
5092,87
477,4
3168,2
8562,15
11234,0
11437,10
12153,4
1674,26
2794,57
5989,46
2909,7
6426,47
11753,70
14846,48
8175,20
6709,106
6387,55
13849,87
9298,56
14022,15
13007,37
15101,45
271,57
14140,7
9844,0
13782,33
14902,64
7359,107
15077,120
6588,1
6660,106
6338,55
8974,117
9571,107
8330,15
11783,70
8684,18
14441,120
3073,7
2677,7
3756,0
13720,94
3876,102
13117,30
7346,30
7291,94
14110,20
6009,1
14490,12
7726,22
183,65
8779,26
10279,49
12488,7
15471,113
3881,116
13767,31
5209,96
6222,1
13106,56
8360,15
3467,18
13687,38
10693,39
14404,93
6102,84
150,9
8075,31
13185,56
7340,107
14883,64
7092,5
1844,46
6319,55
9533,57
12587,107
5479,78
7196,62
10892,104
11387,83
6098,86
2603,34
9146,62
7171,5
1763,57
7305,5
9003,13
13136,56
12296,79
14517,91
13837,103
6168,7
1275,10
12073,7
14038,93
8105,31
14855,86
6888,67
12848,3
12034,15
8839,26
518,4
8228,101
5449,27
8663,29
14964,29
4482,9
1992,38
11273,102
1092,10
6083,84
2633,34
14503,85
1793,57
7321,107
4704,58
10053,69
7073,5
12348,67
8790,26
12381,15
4461,71
14547,91
1052,59
1575,100
2246,39
5185,102
1305,10
4923,102
13619,1
14068,93
7397,65
8135,31
9510,86
13357,1
6175,23
14757,86
9246,13
7152,5
8258,101
10863,59
4512,9
5002,102
365,31
310,95
7767,49
13483,113
13672,49
1256,10
2302,55
6113,84
13441,116
13570,1
5213,56
7945,55
1140,64
8468,96
1823,57
14473,34
9708,0
7103,5
8787,78
11960,79
3935,82
4491,71
10974,48
13792,50
4953,102
6428,95
4127,23
11353,44
6064,84
1353,64
10775,67
5365,46
11196,97
1774,57
5444,110
3510,91
10153,20
14528,91
11333,102
5166,102
13251,113
730,21
1286,10
2332,55
1432,64
9197,97
7378,65
13600,1
12061,23
12744,16
1591,57
7133,5
1725,57
11252,113
13841,63
5902,106
291,95
2283,55
13551,1
1961,4
2417,55
2095,4
7926,55
1804,57
11938,37
3958,79
3380,102
3540,91
4830,8
3118,102
12755,30
4472,71
10719,0
941,96
3974,23
9227,97
8327,106
7408,65
13764,1
14292,120
4589,67
7063,30
695,40
4707,59
11314,65
5469,116
758,96
3012,56
5670,106
5804,106
9178,97
11313,106
14538,91
7956,55
13190,79
3410,102
6073,1
3225,56
5883,106
12803,84
709,96
2963,56
4501,75
5217,16
6614,96
6714,34
11003,65
1942,4
12357,34
14234,7
13141,79
11066,121
5395,59
7093,30
9046,62
3361,102
13710,7
8347,61
10004,31
5513,51
6432,55
11740,65
4613,23
5700,106
9425,95
922,96
5834,106
8525,67
8423,56
14273,120
4414,79
7306,30
13092,79
4790,70
7044,30
6103,1
3109,2
6727,94
10934,86
5827,66
12310,43
9242,95
2993,56
8342,67
8375,15
11033,65
14247,67
6019,7
6105,47
790,61
13424,30
7243,95
3652,106
6995,30
10787,9
11651,114
6356,43
4240,47
8555,67
1609,100
12003,7
8293,67
10473,78
15420,109
8673,59
8169,31
12618,51
11047,84
7074,30
1666,82
7456,95
9448,55
15427,4
9186,55
14654,54
8372,67
8506,67
2403,82
4175,39
2592,18
11079,9
7273,95
7421,30
6084,1
10781,86
9325,106
12412,67
982,96
8821,78
8585,67
12176,56
720,59
8323,67
14228,67
4987,102
5202,27
12208,8
15188,109
4126,39
5783,9
7326,106
13465,44
7224,95
